food,kcal,protein,carbs,fat,serving_size
McDonald’s - Iced Caramel Mocha (Large),380.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Caramel Mocha (Medium),300.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Caramel Mocha (Small),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Caramel (Small),450.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Caramel (Medium),550.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Caramel (Large),680.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Mocha (Small),450.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Mocha (Medium),560.0,0.0,0.0,0.0,1 unidade
McDonald’s - Frappe Mocha (Large),680.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Banana Smoothie (Large),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Banana Smoothie (Medium),260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Banana Smoothie (Small),210.0,0.0,0.0,0.0,1 unidade
McDonald’s - Wild Berry Smoothie (Large),320.0,0.0,0.0,0.0,1 unidade
McDonald’s - Wild Berry Smoothie (Medium),260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Wild Berry Smoothie (Small),210.0,0.0,0.0,0.0,1 unidade
Burger King - Whopper® Sandwich,660.0,0.0,0.0,0.0,1 unidade
Burger King - Whopper® Sandwich with Cheese,740.0,0.0,0.0,0.0,1 unidade
Burger King - Bacon & Cheese Whopper® Sandwich,790.0,0.0,0.0,0.0,1 unidade
Burger King - Double Whopper® Sandwich,900.0,0.0,0.0,0.0,1 unidade
Burger King - Double Whopper® Sandwich with Cheese,980.0,0.0,0.0,0.0,1 unidade
Burger King - Triple Whopper® Sandwich,1130.0,0.0,0.0,0.0,1 unidade
Burger King - Triple Whopper® Sandwich with Cheese,1220.0,0.0,0.0,0.0,1 unidade
Burger King - Whopper JR.® Sandwich,310.0,0.0,0.0,0.0,1 unidade
Burger King - Bacon King Sandwich,1150.0,0.0,0.0,0.0,1 unidade
Burger King - Cheddar Bacon King Sandwich,1190.0,0.0,0.0,0.0,1 unidade
Burger King - Single Quarter Pound King Sandwich,580.0,0.0,0.0,0.0,1 unidade
Burger King - Double Quarter Pound King Sandwich,900.0,0.0,0.0,0.0,1 unidade
Burger King - Single Stacker King,700.0,0.0,0.0,0.0,1 unidade
Burger King - Double Stacker King,1050.0,0.0,0.0,0.0,1 unidade
Burger King - IMPOSSIBLE Whopper® Sandwich,630.0,0.0,0.0,0.0,1 unidade
Burger King - Hamburger,240.0,0.0,0.0,0.0,1 unidade
Burger King - Cheeseburger,280.0,0.0,0.0,0.0,1 unidade
Burger King - Double Hamburger,350.0,0.0,0.0,0.0,1 unidade
Burger King - Double Cheeseburger,390.0,0.0,0.0,0.0,1 unidade
Burger King - Extra Long Cheeseburger,630.0,0.0,0.0,0.0,1 unidade
Burger King - Bacon Cheeseburger,320.0,0.0,0.0,0.0,1 unidade
Burger King - Bacon Double Cheeseburger,420.0,0.0,0.0,0.0,1 unidade
Burger King - Crispy Chicken Sandwich,670.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Crispy Chicken Sandwich,700.0,0.0,0.0,0.0,1 unidade
Burger King - Original Chicken Sandwich,660.0,0.0,0.0,0.0,1 unidade
Burger King - Bacon & Cheese Crispy Chicken Sandwich,800.0,0.0,0.0,0.0,1 unidade
Burger King - BBQ Bacon Crispy Chicken Sandwich,790.0,0.0,0.0,0.0,1 unidade
Burger King - Crispy Chicken Jr.,450.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Crispy Chicken Jr.,390.0,0.0,0.0,0.0,1 unidade
Burger King - Chicken Nuggets- 4pc,170.0,0.0,0.0,0.0,1 unidade
Burger King - Chicken Nuggets- 6pc,260.0,0.0,0.0,0.0,1 unidade
Burger King - Chicken Nuggets- 10pc,430.0,0.0,0.0,0.0,1 unidade
Burger King - Chicken Nuggets- 20pc,860.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Chicken Nuggets- 4pc,210.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Chicken Nuggets- 6pc,320.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Chicken Nuggets- 10 pc,530.0,0.0,0.0,0.0,1 unidade
Burger King - Spicy Chicken Nuggets- 20 pc,1050.0,0.0,0.0,0.0,1 unidade
Burger King - Chicken Fries – 9 pc.,280.0,0.0,0.0,0.0,1 unidade
Burger King - Crispy Taco,170.0,0.0,0.0,0.0,1 unidade
Burger King - BIG FISH Sandwich,510.0,0.0,0.0,0.0,1 unidade
Burger King - Garden Chicken Salad with Crispy Chicken – no dressing,440.0,0.0,0.0,0.0,1 unidade
Burger King - Club Salad with Crispy Chicken – no dressing,540.0,0.0,0.0,0.0,1 unidade
Burger King - Garden Side Salad – w/o dressing,60.0,0.0,0.0,0.0,1 unidade
Burger King - Ken’s Ranch Dressing,260.0,0.0,0.0,0.0,1 unidade
Burger King - Ken’s Golden Italian Dressing,160.0,0.0,0.0,0.0,1 unidade
Burger King - Ken’s Lite Honey Balsamic Vinaigrette,120.0,0.0,0.0,0.0,1 unidade
Burger King - Buttery Garlic Croutons- Packet,60.0,0.0,0.0,0.0,1 unidade
Burger King - Onion Rings – value,150.0,0.0,0.0,0.0,1 unidade
Burger King - Onion Rings – small,320.0,0.0,0.0,0.0,1 unidade
Burger King - Onion Rings – medium,410.0,0.0,0.0,0.0,1 unidade
Burger King - Onion Rings – large,500.0,0.0,0.0,0.0,1 unidade
Burger King - French Fries – value (unsalted),220.0,0.0,0.0,0.0,1 unidade
Burger King - French Fries – small,320.0,0.0,0.0,0.0,1 unidade
Burger King - French Fries – medium,380.0,0.0,0.0,0.0,1 unidade
Burger King - French Fries – large,430.0,0.0,0.0,0.0,1 unidade
Burger King - Kids Oatmeal,170.0,0.0,0.0,0.0,1 unidade
Burger King - Mott’s® Natural Applesauce,50.0,0.0,0.0,0.0,1 unidade
Burger King - Fat FREE Milk (8 fl oz),90.0,0.0,0.0,0.0,1 unidade
Burger King - 1% Low Fat Chocolate Milk (8 fl oz),160.0,0.0,0.0,0.0,1 unidade
Burger King - Capri Sun® 100% Apple Juice (6 fl oz),80.0,0.0,0.0,0.0,1 unidade
Burger King - PB&J Jamwich,300.0,0.0,0.0,0.0,1 unidade
Burger King - Soft Serve Cone,190.0,0.0,0.0,0.0,1 unidade
Burger King - Dutch Apple Pie,340.0,0.0,0.0,0.0,1 unidade
Burger King - HERSHEY®’S Sundae Pie,310.0,0.0,0.0,0.0,1 unidade
Burger King - Pie made with TWIX®,370.0,0.0,0.0,0.0,1 unidade
Burger King - OREO® Cookie Cheesecake,350.0,0.0,0.0,0.0,1 unidade
Burger King - Soft Serve Cup,170.0,0.0,0.0,0.0,1 unidade
Burger King - HERSHEY®’s Chocolate Sundae,260.0,0.0,0.0,0.0,1 unidade
Burger King - Caramel Sundae,240.0,0.0,0.0,0.0,1 unidade
Burger King - Chocolate Chip Cookies (each),160.0,0.0,0.0,0.0,1 unidade
Burger King - CROISSAN’WICH® Egg & Cheese,340.0,0.0,0.0,0.0,1 unidade
"Burger King - CROISSAN’WICH® Sausage, Egg & Cheese",500.0,0.0,0.0,0.0,1 unidade
"Burger King - CROISSAN’WICH® Ham, Egg & Cheese",370.0,0.0,0.0,0.0,1 unidade
"Burger King - CROISSAN’WICH® Bacon, Egg & Cheese",370.0,0.0,0.0,0.0,1 unidade
Burger King - Fully Loaded CROISSAN’WICH®,610.0,0.0,0.0,0.0,1 unidade
Burger King - Double CROISSAN’WICH® with Sausage & Bacon,580.0,0.0,0.0,0.0,1 unidade
Burger King - Double CROISSAN’WICH® with Sausage,710.0,0.0,0.0,0.0,1 unidade
Burger King - Double CROISSAN’WICH® with Ham & Sausage,580.0,0.0,0.0,0.0,1 unidade
Burger King - Fully Loaded Biscuit,640.0,0.0,0.0,0.0,1 unidade
"Burger King - Ham, Egg, & Cheese Biscuit",400.0,0.0,0.0,0.0,1 unidade
"Burger King - Sausage, Egg, & Cheese Biscuit",530.0,0.0,0.0,0.0,1 unidade
"Burger King - Bacon, Egg & Cheese Biscuit",400.0,0.0,0.0,0.0,1 unidade
Burger King - Sausage Biscuit,420.0,0.0,0.0,0.0,1 unidade
Burger King - Breakfast Burrito Jr.,370.0,0.0,0.0,0.0,1 unidade
Burger King - EGG-NORMOUS BURRITOΡ,780.0,0.0,0.0,0.0,1 unidade
Burger King - BK™ Ultimate Breakfast Platter,930.0,0.0,0.0,0.0,1 unidade
Burger King - NY Ultimate Platter (Regional menu item),900.0,0.0,0.0,0.0,1 unidade
Burger King - Pancake and Sausage platter,610.0,0.0,0.0,0.0,1 unidade
Burger King - Hash Browns – small,250.0,0.0,0.0,0.0,1 unidade
Burger King - Hash Browns – medium,500.0,0.0,0.0,0.0,1 unidade
Burger King - Hash Browns – large,670.0,0.0,0.0,0.0,1 unidade
Burger King - French Toast Sticks (3 piece),230.0,0.0,0.0,0.0,1 unidade
Burger King - French Toast Sticks (5 piece),380.0,0.0,0.0,0.0,1 unidade
Burger King - American Cheese (slice),40.0,0.0,0.0,0.0,1 unidade
Burger King - Ketchup (Packet),10.0,0.0,0.0,0.0,1 unidade
Burger King - Mayonnaise (Packet),80.0,0.0,0.0,0.0,1 unidade
Burger King - Strawberry or Grape Jam (packet),30.0,0.0,0.0,0.0,1 unidade
Burger King - Breakfast Syrup (1 oz),120.0,0.0,0.0,0.0,1 unidade
Burger King - Barbecue Dipping Sauce (1 oz),40.0,0.0,0.0,0.0,1 unidade
Burger King - Ranch Dipping Sauce (1 oz),140.0,0.0,0.0,0.0,1 unidade
Burger King - Buffalo Dipping Sauce (1 oz),80.0,0.0,0.0,0.0,1 unidade
Burger King - Zesty Onion Ring Dipping Sauce (1 oz),150.0,0.0,0.0,0.0,1 unidade
Burger King - Honey Mustard Dipping Sauce (1oz),90.0,0.0,0.0,0.0,1 unidade
Burger King - Smoothie: Strawberry Banana 16 fl oz,310.0,0.0,0.0,0.0,1 unidade
Burger King - Oreo® Shake,720.0,0.0,0.0,0.0,1 unidade
Burger King - Chocolate Oreo® Shake,740.0,0.0,0.0,0.0,1 unidade
Burger King - Vanilla Milk Shake,580.0,0.0,0.0,0.0,1 unidade
Burger King - HERSHEY®’S Chocolate Milk Shake,610.0,0.0,0.0,0.0,1 unidade
Burger King - Strawberry Milk Shake,640.0,0.0,0.0,0.0,1 unidade
Burger King - 16 fl oz,210.0,0.0,0.0,0.0,1 unidade
Burger King - 20 fl oz,270.0,0.0,0.0,0.0,1 unidade
Burger King - 29 fl oz,290.0,0.0,0.0,0.0,1 unidade
Burger King - 38 fl oz,510.0,0.0,0.0,0.0,1 unidade
Burger King - 40 fl oz,240.0,0.0,0.0,0.0,1 unidade
Burger King - Capri Sun® 100% Apple Juice,80.0,0.0,0.0,0.0,1 unidade
Burger King - Minute Maid® Orange Juice,140.0,0.0,0.0,0.0,1 unidade
Burger King - Frozen Coke® – 16 oz,130.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Vanilla Coffee- 12 fl oz,150.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Vanilla Coffee- 16 fl oz,200.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Vanilla Coffee- 20 fl oz,260.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Mocha Coffee- 12 fl oz,180.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Mocha Coffee- 16 fl oz,240.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Iced Mocha Coffee- 20 fl oz,300.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Mocha Frappe- 12 fl oz,300.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Mocha Frappe- 16 fl oz,400.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Mocha Frappe- 20 fl oz,510.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Caramel Frappe- 12 fl oz,300.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Caramel Frappe- 16 fl oz,400.0,0.0,0.0,0.0,1 unidade
Burger King - BK® Café Caramel Frappe- 20 fl oz,500.0,0.0,0.0,0.0,1 unidade
Wendy’s - Baconator,950.0,0.0,0.0,0.0,1 unidade
Wendy’s - Dave’s Double,810.0,0.0,0.0,0.0,1 unidade
Wendy’s - Dave’s Single,570.0,0.0,0.0,0.0,1 unidade
Wendy’s - Dave’s Triple,1090.0,0.0,0.0,0.0,1 unidade
Wendy’s - Double Stack,390.0,0.0,0.0,0.0,1 unidade
Wendy’s - Jr. Bacon Cheeseburger,380.0,0.0,0.0,0.0,1 unidade
Wendy’s - Jr. Cheeseburger,280.0,0.0,0.0,0.0,1 unidade
Wendy’s - Jr. Cheeseburger Deluxe,340.0,0.0,0.0,0.0,1 unidade
Wendy’s - Son of Baconator,630.0,0.0,0.0,0.0,1 unidade
Wendy’s - 3 Piece Chicken Tenders,330.0,0.0,0.0,0.0,1 unidade
Wendy’s - 4 Piece Chicken Nuggets,170.0,0.0,0.0,0.0,1 unidade
Wendy’s - 4 Piece Chicken Tenders,430.0,0.0,0.0,0.0,1 unidade
Wendy’s - 6 Picece Chicken Nuggets,250.0,0.0,0.0,0.0,1 unidade
Wendy’s - 6 Piece Chicken Tenders,650.0,0.0,0.0,0.0,1 unidade
Wendy’s - 10 Piece Chicken Nuggets,420.0,0.0,0.0,0.0,1 unidade
Wendy’s - Crispy Chicken BLT,420.0,0.0,0.0,0.0,1 unidade
Wendy’s - Crispy Chicken Sandwich,330.0,0.0,0.0,0.0,1 unidade
Wendy’s - Grilled Asiago Ranch Club,530.0,0.0,0.0,0.0,1 unidade
Wendy’s - Grilled Chicken Sandwich,370.0,0.0,0.0,0.0,1 unidade
Wendy’s - Grilled Chicken Wrap,270.0,0.0,0.0,0.0,1 unidade
Wendy’s - Homestyle Asiago Ranch Chicken Club,660.0,0.0,0.0,0.0,1 unidade
Wendy’s - Homestyle Chicken Sandwich,510.0,0.0,0.0,0.0,1 unidade
Wendy’s - S’Awesome Sauce,120.0,0.0,0.0,0.0,1 unidade
Wendy’s - Spicy Asiago Ranch Club,670.0,0.0,0.0,0.0,1 unidade
Wendy’s - Spicy Chicken Sandwich,510.0,0.0,0.0,0.0,1 unidade
Wendy’s - Spicy Chicken Wrap,370.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Apple Pecan Chicken Salad, Full Size",560.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Apple Pecan Chicken Salad, Half Size",340.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Berry Burst Chicken Salad, Full Size",460.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Berry Burst Chicken Salad, Half Size",290.0,0.0,0.0,0.0,1 unidade
Wendy’s - Caesar Side Salad,240.0,0.0,0.0,0.0,1 unidade
Wendy’s - Garden Side Salad,250.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Southwest Avocado Chicken Salad, Full Size",600.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Southwest Avocado Chicken Salad, Half Size",300.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Spicy Caesar Chicken Salad, Full Size",720.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Spicy Caesar Chicken Salad, Half Size",410.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Taco Salad, Full Size",660.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Taco Salad, Half Size",470.0,0.0,0.0,0.0,1 unidade
Wendy’s - Apple Bites,35.0,0.0,0.0,0.0,1 unidade
Wendy’s - Baconator Fries,490.0,0.0,0.0,0.0,1 unidade
Wendy’s - Bacon Cheese Baked Potato,440.0,0.0,0.0,0.0,1 unidade
Wendy’s - Cheese Baked Potato,430.0,0.0,0.0,0.0,1 unidade
Wendy’s - Chili & Cheese Baked Potato,460.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Chili, Large",250.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Chili, Small",170.0,0.0,0.0,0.0,1 unidade
Wendy’s - Chili Cheese Fries,500.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Natural-Cut Fries, Junior",230.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Natural-Cut Fries, Large",530.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Natural-Cut Fries, Medium",420.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Natural-Cut Fries, Small",320.0,0.0,0.0,0.0,1 unidade
Wendy’s - Plain Baked Potato,270.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sour Cream and Chive Baked Potato,310.0,0.0,0.0,0.0,1 unidade
Wendy’s - Summer Berry Burst Fruit Cup,20.0,0.0,0.0,0.0,1 unidade
Wendy’s - 1% Chocolate Milk,150.0,0.0,0.0,0.0,1 unidade
Wendy’s - 1% White Milk,90.0,0.0,0.0,0.0,1 unidade
"Wendy’s - All-Natural Lemonade, Large",380.0,0.0,0.0,0.0,1 unidade
"Wendy’s - All-Natural Lemonade, Medium",330.0,0.0,0.0,0.0,1 unidade
"Wendy’s - All-Natural Lemonade, Small",190.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Apple Kiwi Fruit Tea, Large",330.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Apple Kiwi Fruit Tea, Medium",300.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Apple Kiwi Fruit Tea, Small",170.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Barq’s Root Beer, Large",450.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Barq’s Root Beer, Medium",360.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Barq’s Root Beer, Small",220.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Brewed Unsweetened Iced Tea, Large",5.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Caramel Iced Coffee, Medium",240.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Caramel Iced Coffee, Small",160.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Coca-Cola, Large",400.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Coca-Cola, Medium",320.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Coca-Cola, Small",200.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Dr Pepper, Large",240.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Dr Pepper, Medium",190.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Dr Pepper, Small",120.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Fanta Orange, Large",430.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Fanta Orange, Medium",340.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Fanta Orange, Small",210.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Hi-C Flashin’ Fruit Punch, Large",420.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Hi-C Flashin’ Fruit Punch, Medium",340.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Hi-C Flashin’ Fruit Punch, Small",210.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Honest Tropical Green Tea, Large",110.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Honest Tropical Green Tea, Medium",90.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Honest Tropical Green Tea, Small",60.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Limeade, Large",460.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Limeade, Medium",380.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Limeade, Small",230.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Minute Maid Light Lemonade, Large",15.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Minute Maid Light Lemonade, Medium",10.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Minute Maid Light Lemonade, Small",5.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Mocha Iced Coffee, Medium",210.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Mocha Iced Coffee, Small",170.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Pear Berry Fruit Tea, Large",320.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Pear Berry Fruit Tea, Medium",300.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Pear Berry Fruit Tea, Small",170.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Skinny Vanilla Iced Coffee, Medium",100.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Skinny Vanilla Iced Coffee, Small",70.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Small Sprite, Small",200.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Sprite, Large",390.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Sprite, Medium",310.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Lemonade, Large",480.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Lemonade, Medium",380.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Lemonade, Small",230.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Sweet Tea, Large",270.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Sweet Tea, Medium",240.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Sweet Tea, Small",140.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Tea, Large",90.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Tea, Medium",60.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Strawberry Tea, Small",45.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Sweetened Iced Tea, Large",300.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Sweetened Iced Tea, Medium",220.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Sweetened Iced Tea, Small",160.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Iced Coffee, Medium",250.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Iced Coffee, Small",170.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Classic Chocolate Frosty, Junior",200.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Classic Chocolate Frosty, Large",590.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Classic Chocolate Frosty, Medium",470.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Classic Chocolate Frosty, Small",350.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Frosty, Junior",190.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Frosty, Large",570.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Frosty, Medium",450.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Vanilla Frosty, Small",340.0,0.0,0.0,0.0,1 unidade
Wendy’s - Chocolate Chunk Cookie,310.0,0.0,0.0,0.0,1 unidade
Wendy’s - Double Chocolate Chunk Cookie,290.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sugar Cookie,330.0,0.0,0.0,0.0,1 unidade
Wendy’s - Kids 2 Piece Chicken Tenders,200.0,0.0,0.0,0.0,1 unidade
Wendy’s - Kids 4 Piece Chicken Nuggets,170.0,0.0,0.0,0.0,1 unidade
Wendy’s - Kids Cheeseburger,280.0,0.0,0.0,0.0,1 unidade
Wendy’s - Kids Grilled Chicken Wrap,270.0,0.0,0.0,0.0,1 unidade
Wendy’s - Kids Hamburger,240.0,0.0,0.0,0.0,1 unidade
Wendy’s - Artisan Egg Sandwich with Bacon,320.0,0.0,0.0,0.0,1 unidade
Wendy’s - Artisan Egg Sandwich with Sausage,480.0,0.0,0.0,0.0,1 unidade
Wendy’s - Bacon Breakfast Bowl,510.0,0.0,0.0,0.0,1 unidade
Wendy’s - Biggie Breakfast Sandwich,610.0,0.0,0.0,0.0,1 unidade
Wendy’s - Fresh-Baked Biscuit with Applewood Smoked Bacon,410.0,0.0,0.0,0.0,1 unidade
Wendy’s - Fresh Baked Biscuit with Natural Sausage,590.0,0.0,0.0,0.0,1 unidade
Wendy’s - Gravy and Sausage Bowl,450.0,0.0,0.0,0.0,1 unidade
Wendy’s - Honey Butter Chicken Biscuit,500.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sausage and Egg Burrito,360.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sausage and Gravy Biscuit,490.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sausage Biscuit,480.0,0.0,0.0,0.0,1 unidade
Wendy’s - Sausage Breakfast Bowl,640.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Seasoned Home-Style Potatoes, Large",360.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Seasoned Home-Style Potatoes, Medium",250.0,0.0,0.0,0.0,1 unidade
"Wendy’s - Seasoned Home-Style Potatoes, Small",230.0,0.0,0.0,0.0,1 unidade
Wendy’s - Two Sausage and Egg Burritos,720.0,0.0,0.0,0.0,1 unidade
Wendy’s - Two Sausage Biscuits,960.0,0.0,0.0,0.0,1 unidade
KFC - Limited Time Cinnabon Dessert  Biscuits,290.0,0.0,0.0,0.0,1 unidade
KFC - Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,390.0,0.0,0.0,0.0,1 unidade
KFC - Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130.0,0.0,0.0,0.0,1 unidade
KFC - Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280.0,0.0,0.0,0.0,1 unidade
KFC - Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130.0,0.0,0.0,0.0,1 unidade
KFC - Chicken Breast,770.0,0.0,0.0,0.0,1 unidade
KFC - Chicken Drumstick,250.0,0.0,0.0,0.0,1 unidade
KFC - Chicken Thigh,500.0,0.0,0.0,0.0,1 unidade
KFC - Chicken Whole Wing,290.0,0.0,0.0,0.0,1 unidade
KFC - Breast,260.0,0.0,0.0,0.0,1 unidade
KFC - Drumstick,100.0,0.0,0.0,0.0,1 unidade
KFC - Thigh,180.0,0.0,0.0,0.0,1 unidade
KFC - Whole Wing,90.0,0.0,0.0,0.0,1 unidade
KFC - EXTRA CRISPY  Chicken Breast,530.0,0.0,0.0,0.0,1 unidade
KFC - EXTRA CRISPY  Chicken Drumstick,170.0,0.0,0.0,0.0,1 unidade
KFC - EXTRA CRISPY  Chicken Thigh,330.0,0.0,0.0,0.0,1 unidade
KFC - EXTRA CRISPY  Chicken Whole Wing,170.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY GRILLED CHICKEN Breast,210.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY GRILLED CHICKEN Drumstick,80.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY GRILLED CHICKEN Thigh,150.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY GRILLED CHICKEN Whole Wing,70.0,0.0,0.0,0.0,1 unidade
KFC - SPICY CRISPY CHICKEN Breast,350.0,0.0,0.0,0.0,1 unidade
KFC - SPICY CRISPY CHICKEN Drumstick,130.0,0.0,0.0,0.0,1 unidade
KFC - SPICY CRISPY CHICKEN Thigh,270.0,0.0,0.0,0.0,1 unidade
KFC - SPICY CRISPY CHICKEN Whole Wing,120.0,0.0,0.0,0.0,1 unidade
KFC - EXTRA CRISPY  Tender (each),260.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY FRIED WINGS Buffalo,100.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY FRIED WINGS Honey BBQ,100.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY FRIED WINGS Nashville Hot,130.0,0.0,0.0,0.0,1 unidade
KFC - KENTUCKY FRIED WINGS Unsauced,80.0,0.0,0.0,0.0,1 unidade
KFC - POPCORN NUGGETS Kids,290.0,0.0,0.0,0.0,1 unidade
