food,kcal,protein,carbs,fat,serving_size
McDonald’s - Sausage McMuffin® with Egg,450.0,0.0,0.0,0.0,1 unidade
McDonald’s - English Muffin,160.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage Biscuit with Egg (Regular Size Biscuit),510.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage Biscuit with Egg (Large Size Biscuit),570.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage Biscuit (Regular Size Biscuit),430.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage Biscuit (Large Size Biscuit),480.0,0.0,0.0,0.0,1 unidade
McDonald’s - Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,0.0,0.0,0.0,1 unidade
McDonald’s - Southern Style Chicken Biscuit (Large Size Biscuit),470.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Steak, Egg & Cheese Bagel",660.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Bacon, Egg & Cheese McGriddles®",420.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Sausage, Egg & Cheese McGriddles®",560.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage McGriddles®,420.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big Breakfast® (Regular Size Biscuit),740.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big Breakfast® (Large Size Biscuit),800.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sausage Burrito,300.0,0.0,0.0,0.0,1 unidade
McDonald’s - McSkillet™ Burrito with Sausage,610.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hotcakes,350.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hotcakes and Sausage,520.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hotcake Syrup,180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Whipped Margarine (1 pat),40.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hash Brown,150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Grape Jam,35.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Preserves,35.0,0.0,0.0,0.0,1 unidade
"McDonald’s - Bacon, Egg & Cheese Bagel",560.0,0.0,0.0,0.0,1 unidade
McDonald’s - Fruit & Maple Oatmeal,290.0,0.0,0.0,0.0,1 unidade
McDonald’s - Fruit & Maple Oatmeal without Brown Sugar,260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hamburger Happy Meal,475.0,0.0,0.0,0.0,1 unidade
McDonald’s - 4 Piece Chicken McNuggets Happy Meal,395.0,0.0,0.0,0.0,1 unidade
McDonald’s - 6 Piece Chicken McNuggets® Happy Meal,475.0,0.0,0.0,0.0,1 unidade
McDonald’s - Fruit ‘n Yogurt Parfait (7 oz),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Low Fat Caramel Dip,70.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Reduced Fat Ice Cream Cone,150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Kiddie Cone,45.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Sundae,280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Caramel Sundae,340.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Fudge Sundae,330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Peanuts (for Sundaes),45.0,0.0,0.0,0.0,1 unidade
McDonald’s - McFlurry® with M&M’S® Candies (12 fl oz cup),710.0,0.0,0.0,0.0,1 unidade
McDonald’s - McFlurry® with OREO® Cookies (12 fl oz cup),580.0,0.0,0.0,0.0,1 unidade
McDonald’s - Baked Hot Apple Pie,250.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cinnamon Melts,460.0,0.0,0.0,0.0,1 unidade
McDonald’s - McDonaldland® Cookies,260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate Chip Cookie,160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Oatmeal Raisin Cookie,150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sugar Cookie,160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Apple Dippers with Low Fat Caramel Dip,100.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate McCafé® Shake (12 fl oz cup),580.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate McCafé® Shake (16 fl oz cup),720.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate McCafé® Shake (22 fl oz cup),880.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate Triple Thick® Shake (12 fl oz cup),440.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate Triple Thick® Shake (16 fl oz cup),580.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate Triple Thick® Shake (21 fl oz cup),770.0,0.0,0.0,0.0,1 unidade
McDonald’s - Chocolate Triple Thick® Shake (32 fl oz cup),1160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Snack Size McFlurry® with M&M’S® Candies,430.0,0.0,0.0,0.0,1 unidade
McDonald’s - Snack Size McFlurry® with OREO® Cookies,340.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry McCafé® Shake (12 fl oz cup),570.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry McCafé® Shake (16 fl oz cup),710.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry McCafé® Shake (22 fl oz cup),860.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Triple Thick® Shake (12 fl oz cup),420.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Triple Thick® Shake (16 fl oz cup),560.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Triple Thick® Shake (21 fl oz cup),740.0,0.0,0.0,0.0,1 unidade
McDonald’s - Strawberry Triple Thick® Shake (32 fl oz cup),1110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla McCafé® Shake (12 fl oz cup),540.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla McCafé® Shake (16 fl oz cup),680.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla McCafé® Shake (22 fl oz cup),830.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Triple Thick Shake® (32 fl oz cup),1110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Triple Thick® Shake (12 fl oz cup),420.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Triple Thick® Shake (16 fl oz cup),550.0,0.0,0.0,0.0,1 unidade
McDonald’s - Vanilla Triple Thick® Shake (21 fl oz cup),740.0,0.0,0.0,0.0,1 unidade
